wavelength_nm,A,D65,C,D50,D55,D75
380,9.79510,49.9755,33.00,24.488,32.584,66.703
385,10.8996,52.3118,39.92,27.179,35.335,68.333
390,12.0853,54.6482,47.40,29.871,38.087,69.963
395,13.3543,68.7015,55.17,39.589,49.518,85.946
400,14.7080,82.7549,63.30,49.308,60.949,101.929
405,16.1480,87.1204,71.81,52.910,64.751,106.911
410,17.6753,91.4860,80.60,56.513,68.554,111.894
415,19.2907,92.4589,89.53,58.273,70.065,112.346
420,20.9950,93.4318,98.10,60.034,71.577,112.798
425,22.7883,90.0570,105.80,58.926,69.746,107.945
430,24.6709,86.6823,112.40,57.818,67.914,103.092
435,26.6425,95.7736,117.75,66.321,76.760,112.145
440,28.7027,104.865,121.50,74.825,85.605,121.198
445,30.8508,110.936,123.45,81.036,91.799,127.104
450,33.0859,117.008,124.00,87.247,97.993,133.010
455,35.4068,117.410,123.60,88.930,99.228,132.682
460,37.8121,117.812,123.10,90.612,100.463,132.355
465,40.3002,116.336,123.30,90.990,100.188,129.838
470,42.8693,114.861,123.80,91.368,99.913,127.322
475,45.5174,115.392,124.09,93.238,101.326,127.061
480,48.2423,115.923,123.90,95.109,102.739,126.800
485,51.0418,112.367,122.92,93.536,100.409,122.291
490,53.9132,108.811,120.70,91.963,98.078,117.783
495,56.8539,109.082,116.90,93.843,99.379,117.186
500,59.8611,109.354,112.10,95.724,100.680,116.589
505,62.9320,108.578,106.98,96.169,100.688,115.146
510,66.0635,107.802,102.30,96.613,100.695,113.702
515,69.2525,106.296,98.81,96.871,100.341,111.181
520,72.4959,104.790,96.90,97.129,99.987,108.659
525,75.7903,106.239,96.78,99.614,102.098,109.552
530,79.1326,107.689,98.00,102.099,104.210,110.445
535,82.5193,106.047,99.94,101.427,103.156,108.367
540,85.9470,104.405,102.10,100.755,102.102,106.289
545,89.4124,104.225,103.95,101.536,102.535,105.596
550,92.9120,104.046,105.20,102.317,102.968,104.904
555,96.4423,102.023,105.67,101.159,101.484,102.452
560,100.000,105.30,100.000,100.000,100.000,100.000
565,103.582,98.1671,104.11,98.868,98.608,97.808
570,107.184,96.3342,102.30,97.735,97.216,95.616
575,110.803,96.0611,100.15,98.327,97.482,94.914
580,114.436,95.7880,97.80,98.918,97.749,94.213
585,118.080,92.2368,95.43,96.208,94.590,90.605
590,121.731,88.6856,93.20,93.499,91.432,86.997
595,125.386,89.3459,91.22,95.593,92.926,87.112
600,129.043,90.0062,89.70,97.688,94.419,87.227
605,132.697,89.8026,88.83,98.478,94.780,86.684
610,136.346,89.5991,88.40,99.269,95.140,86.140
615,139.988,88.6489,88.19,99.155,94.680,84.861
620,143.618,87.6987,88.10,99.042,94.220,83.581
625,147.235,85.4936,88.06,97.382,92.334,81.164
630,150.836,83.2886,88.00,95.722,90.448,78.747
635,154.418,83.4939,87.86,97.290,91.389,78.587
640,157.979,83.6992,87.80,98.857,92.330,78.428
645,161.516,81.8630,87.99,97.262,90.592,76.614
650,165.028,80.0268,88.20,95.667,88.854,74.801
655,168.510,80.1207,88.20,96.929,89.586,74.562
660,171.963,80.2146,87.90,98.190,90.317,74.324
665,175.383,81.2462,87.22,100.597,92.133,74.873
670,178.769,82.2778,86.30,103.003,93.950,75.422
675,182.118,80.2810,85.30,101.068,91.953,73.499
680,185.429,78.2842,84.00,99.133,89.956,71.576
685,188.701,74.0027,82.21,93.257,84.817,67.714
690,191.931,69.7213,80.20,87.381,79.677,63.852
695,195.118,70.6652,78.24,89.492,81.258,64.464
700,198.261,71.6091,76.30,91.604,82.840,65.076
705,201.359,72.9790,74.36,92.246,83.842,66.573
710,204.409,74.3490,72.40,92.889,84.844,68.070
715,207.411,67.9765,70.40,84.872,77.539,62.256
720,210.365,61.6040,68.30,76.854,70.235,56.443
725,213.268,65.7448,66.30,81.683,74.768,60.343
730,216.120,69.8856,64.40,86.511,79.301,64.242
